water_body_desc,location_code,section
John Day Pool Reservoir,"Arlington, OR",
John Day Pool Reservoir,"Sundale, WA",
John Day Pool Reservoir,"Lepage, OR",
John Day Pool Reservoir,"John Day Dam, WA",
Blue Creek (Cowlitz),Blue Creek Proper,
Lower Columbia,Powerhouse to Hamilton Bt Ramp,
Lower Columbia,W-10,
Lower Columbia,W-9,
Lower Columbia,W-8,
Lower Columbia,W-7,
Lower Columbia,W-6,
Lower Columbia,W-5,
Lower Columbia,W-4,
Lower Columbia,W-3,
Lower Columbia,W-2,
Lower Columbia,W-1,
Lower Columbia,Rock Pile,
Lower Columbia,Sportsman Ramp,
Lower Columbia,Lions,
Lower Columbia,Hamilton Ramp,
Lower Columbia,Beacon Rock,
Lower Columbia,Vista Park Ramp,
Lower Columbia,Chinook Marina,
Lower Columbia,Deep River,
Lower Columbia,Knappton Ramp,
Lower Columbia,Svensen Ramp,
Lower Columbia,Cathlamet Marina,
Lower Columbia,Willow Grove,
Lower Columbia,Kalama,
Lower Columbia,Langsdorf,
Lower Columbia,Ridgefield,
Lower Columbia,Portco,
Lower Columbia,Camas-Washougal,
Stillaguamish River - South Fork,Twin Rivers Park,
Stillaguamish River - South Fork,Mouth of Jim Creek,
Stillaguamish River - South Fork,River Meadows,
Stillaguamish River - South Fork,Jordan Bridge,
Stillaguamish River - South Fork,Riverscene County Park,
Stillaguamish River - South Fork,mouth to 400' below Granite Falls fishway outlet,
Stillaguamish River - South Fork,Mountain Loop HWY bridge above Granite Falls upstream,
Stillaguamish River - North Fork,Twin Rivers Park,
Stillaguamish River - North Fork,Cloverdale Park,
Stillaguamish River - North Fork,Cicero Bridge (Downstream),
Stillaguamish River - North Fork,Cicero Bridge (Upstream),
Stillaguamish River - North Fork,Trafton Access,
Stillaguamish River - North Fork,Deer Creek Mouth,
Stillaguamish River - North Fork,OSO Whitehorse Trail,
Stillaguamish River - North Fork,Whittman Rd. Bridge,
Stillaguamish River - North Fork,C Post Rd.,
Stillaguamish River - North Fork,Hazel Hole,
Stillaguamish River - North Fork,Fortson Park/Ponds,
Stillaguamish River - North Fork,Swede Heaven Bridge,
Stillaguamish River - North Fork,upstream hwy 530 Bridge (Cicero) to French Creek,
Stillaguamish River - North Fork,from French Creek to Swede Heaven Bridge,
Stillaguamish River - North Fork,from Swede Heaven Bridge to NF Falls (approx 1 mile upstream Cascade Creek),
Skagit River,From Cascade River Rd. (Marblemount Bridge) to Gorge powerhouse at Newhalem,1
Skagit River,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).,1
Skagit River,Upstream of the mouth of the Baker River to the Hwy. 530 Bridge at Rockport,1
Skagit River,Mouth to Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge),1
Skagit River,From Hwy. 536 at Mt. Vernon (Memorial Hwy. Bridge) to mouth of Gilligan Creek,1
Skagit River,From mouth of Gilligan Creek to the Dalles Bridge at Concrete,1
Skagit River,From the Dalles Bridge at Concrete to 200' below the mouth of Baker River,1
Skagit River,Above the east bank of the Baker River and below the west bank of the Baker River,1
Skagit River,Primitive boat ramp old Lyman ferry,1
Skagit River,Hamilton WDFW boat launch,1
Skagit River,Rasar State Park,1
Skagit River,Lyman Slough Conservation Area?,1
Skagit River,Birdsview WDFW boat launch,1
Skagit River,Pressentin Creek pull off,1
Skagit River,Pressentin Creek to Gilligan Creek,1
Skagit River,Old Lyman Ferry primitive boat launch,1
Skagit River,Stirling Road Access,1
Skagit River,Mill Town Boat Ramp (SF Skagit),1
Skagit River,Conway Boat Ramp (SF Skagit),1
Skagit River,"Skagit City Access (SF Skagit, N. end of Fir Island)",1
Skagit River,"Blakes Landing (NF Skagit, private ramp)",1
Skagit River,"North Fork Access (NF Skagit, at Best Road bridge)",1
Skagit River,Spudhouse Access,1
Skagit River,Edgewater Park,1
Skagit River,Upper Young's Bar,1
Skagit River,Railroad Bar,1
Skagit River,Gardner Bar (aka Mayor Tjeerdsma launch),1
